,color,date,link,moves,my_elo,opponent_country,opponent_elo,opponent_name,result,speed
0,white,"Sep 22, 2019",https://www.chess.com/analysis/game/live/4055705468,23,1204,United States,1141,wmtw,win,5 min
1,white,"Sep 22, 2019",https://www.chess.com/analysis/game/live/4055273852,30,1197,Norway,1210,hanne-lm,loss,5 min
2,black,"Sep 21, 2019",https://www.chess.com/analysis/game/live/4053254148,53,1205,Canada,1193,keenen1995,win,5 min
3,black,"Sep 21, 2019",https://www.chess.com/analysis/game/live/4052428946,53,1197,Spain,1203,plinio2015,win,5 min
4,black,"Sep 21, 2019",https://www.chess.com/analysis/game/live/4052068866,45,1188,Morocco,1212,anjjar,win,5 min
5,white,"Sep 21, 2019",https://www.chess.com/analysis/game/live/4052044025,27,1179,Saudi Arabia,1169,aliekhwan,win,5 min
6,white,"Sep 20, 2019",https://www.chess.com/analysis/game/live/4050109389,47,1171,United States,1146,antilleschris,win,5 min
7,white,"Sep 20, 2019",https://www.chess.com/analysis/game/live/4049559760,37,1163,India,1156,madhuekambaram,win,5 min
8,white,"Sep 20, 2019",https://www.chess.com/analysis/game/live/4049116119,15,982,Poland,1077,szadof,loss,1 min
9,black,"Sep 19, 2019",https://www.chess.com/analysis/game/live/4047849895,49,990,United States,1000,ANT0203,win,1 min
10,black,"Sep 19, 2019",https://www.chess.com/analysis/game/live/4046459604,61,1155,United States,1002,vitaliyhoryn,win,5 min
11,black,"Sep 19, 2019",https://www.chess.com/analysis/game/live/4046246192,21,1150,India,1161,ycRaghav,win,5 min
12,white,"Sep 18, 2019",https://www.chess.com/analysis/game/live/4044564176,30,1141,United States,1072,CLYArg,loss,5 min
13,white,"Sep 18, 2019",https://www.chess.com/analysis/game/live/4043637256,43,1151,United States,1154,sirstrife,win,5 min
14,black,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4042591336,71,1143,Mexico,1117,Onein144K,win,5 min
15,black,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4042572814,16,1135,Australia,1027,paulwilliams75,win,5 min
16,white,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4042544748,63,1129,International,1099,Almeidabluedeep,win,5 min
17,white,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4042519799,32,1121,Mongolia,1270,Midasusd,loss,5 min
18,white,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4042333880,20,1126,Canada,1172,ARookieMove,loss,5 min
19,black,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4042131041,46,1133,Australia,1079,engauscan,loss,5 min
20,black,"Sep 17, 2019",https://www.chess.com/analysis/game/live/4041562445,46,1143,Turkey,1111,huseyinbeg,win,5 min
